bam	alignment_rates
IAN_2brad_L1_5_S5_L001_R1_001_TGGT	95.36
IAN_2brad_L1_5_S5_L001_R1_001_TGTC	93.8
IAN_2brad_L1_6_S6_L001_R1_001_ACCA	94.28
IAN_2brad_L1_6_S6_L001_R1_001_AGAC	93.38
IAN_2brad_L1_6_S6_L001_R1_001_AGTG	94.4
IAN_2brad_L1_6_S6_L001_R1_001_CATC	94.2
IAN_2brad_L1_6_S6_L001_R1_001_CTAC	92.49
IAN_2brad_L1_6_S6_L001_R1_001_GACT	92.48
IAN_2brad_L1_6_S6_L001_R1_001_GCTT	94.07
IAN_2brad_L1_6_S6_L001_R1_001_GTGA	94
IAN_2brad_L1_6_S6_L001_R1_001_TCAC	92.36
IAN_2brad_L1_6_S6_L001_R1_001_TCAG	94.22
IAN_2brad_L1_6_S6_L001_R1_001_TGGT	94.03
IAN_2brad_L1_6_S6_L001_R1_001_TGTC	94.31
IAN_2brad_L1_7_S7_L001_R1_001_ACCA	94.26
IAN_2brad_L1_7_S7_L001_R1_001_AGAC	93.28
IAN_2brad_L1_7_S7_L001_R1_001_AGTG	94.32
IAN_2brad_L1_7_S7_L001_R1_001_CATC	94.29
IAN_2brad_L1_7_S7_L001_R1_001_CTAC	93.24
IAN_2brad_L1_7_S7_L001_R1_001_GACT	2.57
IAN_2brad_L1_7_S7_L001_R1_001_GCTT	93.95
IAN_2brad_L1_7_S7_L001_R1_001_GTGA	94.05
IAN_2brad_L1_7_S7_L001_R1_001_TCAC	3.8
IAN_2brad_L1_7_S7_L001_R1_001_TCAG	92.74
IAN_2brad_L1_7_S7_L001_R1_001_TGGT	94.53
IAN_2brad_L1_7_S7_L001_R1_001_TGTC	93.89
IAN_2brad_L1_8_S8_L001_R1_001_ACCA	95.32
IAN_2brad_L1_8_S8_L001_R1_001_AGAC	92.96
IAN_2brad_L1_8_S8_L001_R1_001_AGTG	92.78
IAN_2brad_L1_8_S8_L001_R1_001_CATC	94.56
IAN_2brad_L1_8_S8_L001_R1_001_CTAC	93.84
IAN_2brad_L1_8_S8_L001_R1_001_GACT	92.63
IAN_2brad_L1_8_S8_L001_R1_001_GCTT	94.19
IAN_2brad_L1_8_S8_L001_R1_001_GTGA	94.46
IAN_2brad_L1_8_S8_L001_R1_001_TCAC	93.27
IAN_2brad_L1_8_S8_L001_R1_001_TCAG	93.99
IAN_2brad_L1_8_S8_L001_R1_001_TGTC	90.9
IAN_2brad_L2_1_S9_L002_R1_001_ACCA	92.95
IAN_2brad_L2_1_S9_L002_R1_001_AGAC	92.45
IAN_2brad_L2_1_S9_L002_R1_001_AGTG	94.58
IAN_2brad_L2_1_S9_L002_R1_001_CATC	94.47
IAN_2brad_L2_1_S9_L002_R1_001_CTAC	94.49
IAN_2brad_L2_1_S9_L002_R1_001_GACT	94.62
IAN_2brad_L2_1_S9_L002_R1_001_GCTT	94.34
IAN_2brad_L2_1_S9_L002_R1_001_GTGA	94.4
IAN_2brad_L2_1_S9_L002_R1_001_TCAC	77.04
IAN_2brad_L2_1_S9_L002_R1_001_TCAG	94.29
IAN_2brad_L2_1_S9_L002_R1_001_TGGT	94.53
IAN_2brad_L2_1_S9_L002_R1_001_TGTC	94.41
IAN_2brad_L2_2_S10_L002_R1_001_ACCA	93.17
IAN_2brad_L2_2_S10_L002_R1_001_AGAC	92.86
IAN_2brad_L2_2_S10_L002_R1_001_AGTG	94.45
IAN_2brad_L2_2_S10_L002_R1_001_CATC	94.61
IAN_2brad_L2_2_S10_L002_R1_001_CTAC	94.51
IAN_2brad_L2_2_S10_L002_R1_001_GACT	94.82
IAN_2brad_L2_2_S10_L002_R1_001_GCTT	94.75
IAN_2brad_L2_2_S10_L002_R1_001_GTGA	93.24
IAN_2brad_L2_2_S10_L002_R1_001_TCAC	93.47
IAN_2brad_L2_2_S10_L002_R1_001_TCAG	94.85
IAN_2brad_L2_2_S10_L002_R1_001_TGGT	94.89
IAN_2brad_L2_2_S10_L002_R1_001_TGTC	94.02
IAN_2brad_L2_3_S11_L002_R1_001_ACCA	89.77
IAN_2brad_L2_3_S11_L002_R1_001_AGAC	78.11
IAN_2brad_L2_3_S11_L002_R1_001_AGTG	94.2
IAN_2brad_L2_3_S11_L002_R1_001_CATC	93.98
IAN_2brad_L2_3_S11_L002_R1_001_CTAC	94.47
IAN_2brad_L2_3_S11_L002_R1_001_GACT	94.05
IAN_2brad_L2_3_S11_L002_R1_001_GCTT	94.24
IAN_2brad_L2_3_S11_L002_R1_001_GTGA	94.03
IAN_2brad_L2_3_S11_L002_R1_001_TCAC	94.02
IAN_2brad_L2_3_S11_L002_R1_001_TCAG	94.22
IAN_2brad_L2_3_S11_L002_R1_001_TGGT	94.65
IAN_2brad_L2_3_S11_L002_R1_001_TGTC	94.13
IAN_2brad_L2_4_S12_L002_R1_001_ACCA	93.33
IAN_2brad_L2_4_S12_L002_R1_001_AGAC	93.38
IAN_2brad_L2_4_S12_L002_R1_001_AGTG	93.6
IAN_2brad_L2_4_S12_L002_R1_001_CATC	94.1
IAN_2brad_L2_4_S12_L002_R1_001_CTAC	94.86
IAN_2brad_L2_4_S12_L002_R1_001_GACT	93.57
IAN_2brad_L2_4_S12_L002_R1_001_GCTT	93.86
IAN_2brad_L2_4_S12_L002_R1_001_GTGA	93.84
IAN_2brad_L2_4_S12_L002_R1_001_TCAC	93.61
IAN_2brad_L2_4_S12_L002_R1_001_TCAG	93.87
IAN_2brad_L2_4_S12_L002_R1_001_TGGT	94.76
IAN_2brad_L2_4_S12_L002_R1_001_TGTC	94
IAN_2brad_L2_5_S13_L002_R1_001_ACCA	92.64
IAN_2brad_L2_5_S13_L002_R1_001_AGAC	92.72
IAN_2brad_L2_5_S13_L002_R1_001_AGTG	93.71
IAN_2brad_L2_5_S13_L002_R1_001_CATC	85.77
IAN_2brad_L2_5_S13_L002_R1_001_CTAC	94.41
IAN_2brad_L2_5_S13_L002_R1_001_GACT	94.35
IAN_2brad_L2_5_S13_L002_R1_001_GCTT	94.28
IAN_2brad_L2_5_S13_L002_R1_001_GTGA	94.28
IAN_2brad_L2_5_S13_L002_R1_001_TCAC	93.71
IAN_2brad_L2_5_S13_L002_R1_001_TCAG	93.95
IAN_2brad_L2_5_S13_L002_R1_001_TGGT	93.91
IAN_2brad_L2_5_S13_L002_R1_001_TGTC	93.95
IAN_2brad_L2_6_S14_L002_R1_001_ACCA	93.5
IAN_2brad_L2_6_S14_L002_R1_001_AGAC	92.28
IAN_2brad_L2_6_S14_L002_R1_001_AGTG	94.03
IAN_2brad_L2_6_S14_L002_R1_001_CATC	94.17
IAN_2brad_L2_6_S14_L002_R1_001_CTAC	94.86
IAN_2brad_L2_6_S14_L002_R1_001_GACT	93.96
IAN_2brad_L2_6_S14_L002_R1_001_GCTT	94.27
IAN_2brad_L2_6_S14_L002_R1_001_GTGA	93.93
IAN_2brad_L2_6_S14_L002_R1_001_TCAC	93.74
IAN_2brad_L2_6_S14_L002_R1_001_TCAG	93.69
IAN_2brad_L2_6_S14_L002_R1_001_TGGT	94.39
IAN_2brad_L2_6_S14_L002_R1_001_TGTC	94.28
IAN_2brad_L2_7_S15_L002_R1_001_ACCA	92.62
IAN_2brad_L2_7_S15_L002_R1_001_AGAC	92.31
IAN_2brad_L2_7_S15_L002_R1_001_AGTG	93.92
IAN_2brad_L2_7_S15_L002_R1_001_CATC	94.14
IAN_2brad_L2_7_S15_L002_R1_001_CTAC	94.18
IAN_2brad_L2_7_S15_L002_R1_001_GACT	93.35
IAN_2brad_L2_7_S15_L002_R1_001_GCTT	94.19
IAN_2brad_L2_7_S15_L002_R1_001_GTGA	94.01
IAN_2brad_L2_7_S15_L002_R1_001_TCAC	92.79
IAN_2brad_L2_7_S15_L002_R1_001_TCAG	93.88
IAN_2brad_L2_7_S15_L002_R1_001_TGGT	94.45
IAN_2brad_L2_7_S15_L002_R1_001_TGTC	93.56
IAN_2brad_L2_8_S16_L002_R1_001_ACCA	2.39
IAN_2brad_L2_8_S16_L002_R1_001_AGAC	2.96
IAN_2brad_L2_8_S16_L002_R1_001_AGTG	91.14
IAN_2brad_L2_8_S16_L002_R1_001_CATC	93.6
IAN_2brad_L2_8_S16_L002_R1_001_CTAC	94.42
IAN_2brad_L2_8_S16_L002_R1_001_GACT	94.12
IAN_2brad_L2_8_S16_L002_R1_001_GCTT	94.26
IAN_2brad_L2_8_S16_L002_R1_001_GTGA	94.16
IAN_2brad_L2_8_S16_L002_R1_001_TCAC	93.8
IAN_2brad_L2_8_S16_L002_R1_001_TCAG	94.11
IAN_2brad_L2_8_S16_L002_R1_001_TGGT	94.38
IAN_2brad_L2_8_S16_L002_R1_001_TGTC	94.04
IAN_2brad_L3_1_S1_L001_R1_001_ACCA	94.57
IAN_2brad_L3_1_S1_L001_R1_001_AGAC	94.62
IAN_2brad_L3_1_S1_L001_R1_001_AGTG	94.27
IAN_2brad_L3_1_S1_L001_R1_001_CATC	94.59
IAN_2brad_L3_1_S1_L001_R1_001_CTAC	94.41
IAN_2brad_L3_1_S1_L001_R1_001_GACT	94.35
IAN_2brad_L3_1_S1_L001_R1_001_GCTT	94.64
IAN_2brad_L3_1_S1_L001_R1_001_GTGA	94.58
IAN_2brad_L3_1_S1_L001_R1_001_TCAC	94.23
IAN_2brad_L3_1_S1_L001_R1_001_TCAG	94.33
IAN_2brad_L3_1_S1_L001_R1_001_TGGT	94.29
IAN_2brad_L3_1_S1_L001_R1_001_TGTC	94.37
IAN_2brad_L3_2_S2_L001_R1_001_ACCA	94.56
IAN_2brad_L3_2_S2_L001_R1_001_AGAC	94.44
IAN_2brad_L3_2_S2_L001_R1_001_AGTG	94.51
IAN_2brad_L3_2_S2_L001_R1_001_CATC	94.63
IAN_2brad_L3_2_S2_L001_R1_001_CTAC	94.67
IAN_2brad_L3_2_S2_L001_R1_001_GACT	94.42
IAN_2brad_L3_2_S2_L001_R1_001_GCTT	94.59
IAN_2brad_L3_2_S2_L001_R1_001_GTGA	94.56
IAN_2brad_L3_2_S2_L001_R1_001_TCAC	94.49
IAN_2brad_L3_2_S2_L001_R1_001_TCAG	94.72
IAN_2brad_L3_2_S2_L001_R1_001_TGGT	94.06
IAN_2brad_L3_2_S2_L001_R1_001_TGTC	94.37
IAN_2brad_L3_3_S3_L001_R1_001_ACCA	94.76
IAN_2brad_L3_3_S3_L001_R1_001_AGAC	94.38
IAN_2brad_L3_3_S3_L001_R1_001_AGTG	94.54
IAN_2brad_L3_3_S3_L001_R1_001_CATC	94.55
IAN_2brad_L3_3_S3_L001_R1_001_CTAC	94.8
IAN_2brad_L3_3_S3_L001_R1_001_GACT	94.4
IAN_2brad_L3_3_S3_L001_R1_001_GCTT	94.35
IAN_2brad_L3_3_S3_L001_R1_001_GTGA	94.3
IAN_2brad_L3_3_S3_L001_R1_001_TCAC	94.36
IAN_2brad_L3_3_S3_L001_R1_001_TCAG	94.7
IAN_2brad_L3_3_S3_L001_R1_001_TGTC	94.29
IAN_2brad_L3_4_S4_L001_R1_001_ACCA	94.5
IAN_2brad_L3_4_S4_L001_R1_001_AGTG	94.45
IAN_2brad_L3_4_S4_L001_R1_001_CATC	94.62
IAN_2brad_L3_4_S4_L001_R1_001_CTAC	94.62
IAN_2brad_L3_4_S4_L001_R1_001_GCTT	94.26
IAN_2brad_L3_4_S4_L001_R1_001_GTGA	94.47
IAN_2brad_L3_4_S4_L001_R1_001_TCAC	94.13
IAN_2brad_L3_4_S4_L001_R1_001_TCAG	94.41
IAN_2brad_L3_4_S4_L001_R1_001_TGGT	95.26
IAN_2brad_L3_4_S4_L001_R1_001_TGTC	88.05
IAN_2brad_L3_5_S5_L001_R1_001_ACCA	94.54
IAN_2brad_L3_5_S5_L001_R1_001_AGAC	94.45
IAN_2brad_L3_5_S5_L001_R1_001_AGTG	94.52
IAN_2brad_L3_5_S5_L001_R1_001_CATC	94.67
IAN_2brad_L3_5_S5_L001_R1_001_CTAC	94.51
IAN_2brad_L3_5_S5_L001_R1_001_GACT	94.03
IAN_2brad_L3_5_S5_L001_R1_001_GCTT	94.31
IAN_2brad_L3_5_S5_L001_R1_001_GTGA	94.49
IAN_2brad_L3_5_S5_L001_R1_001_TCAC	93.92
IAN_2brad_L3_5_S5_L001_R1_001_TCAG	94.06
IAN_2brad_L3_5_S5_L001_R1_001_TGGT	94.02
IAN_2brad_L3_5_S5_L001_R1_001_TGTC	94.64
IAN_2brad_L3_6_S6_L001_R1_001_ACCA	95.29
IAN_2brad_L3_6_S6_L001_R1_001_AGAC	94.3
IAN_2brad_L3_6_S6_L001_R1_001_CATC	94.69
IAN_2brad_L3_6_S6_L001_R1_001_CTAC	94.45
IAN_2brad_L3_6_S6_L001_R1_001_GACT	94.24
IAN_2brad_L3_6_S6_L001_R1_001_GCTT	94.3
IAN_2brad_L3_6_S6_L001_R1_001_GTGA	94.06
IAN_2brad_L3_6_S6_L001_R1_001_TCAC	93.18
IAN_2brad_L3_6_S6_L001_R1_001_TCAG	94.6
IAN_2brad_L3_6_S6_L001_R1_001_TGGT	94.35
IAN_2brad_L3_6_S6_L001_R1_001_TGTC	94.47
IAN_2brad_L3_7_S7_L001_R1_001_ACCA	94.34
IAN_2brad_L3_7_S7_L001_R1_001_AGAC	94.42
IAN_2brad_L3_7_S7_L001_R1_001_AGTG	94.24
IAN_2brad_L3_7_S7_L001_R1_001_CATC	94.4
IAN_2brad_L3_7_S7_L001_R1_001_CTAC	94.61
IAN_2brad_L3_7_S7_L001_R1_001_GACT	94.4
IAN_2brad_L3_7_S7_L001_R1_001_GCTT	94.45
IAN_2brad_L3_7_S7_L001_R1_001_GTGA	94.26
IAN_2brad_L3_7_S7_L001_R1_001_TCAC	94.15
IAN_2brad_L3_7_S7_L001_R1_001_TCAG	94.6
IAN_2brad_L3_7_S7_L001_R1_001_TGGT	94.37
IAN_2brad_L3_7_S7_L001_R1_001_TGTC	94.23
IAN_2brad_L3_8_S8_L001_R1_001_ACCA	93.8
IAN_2brad_L3_8_S8_L001_R1_001_AGAC	93.72
IAN_2brad_L3_8_S8_L001_R1_001_AGTG	94.61
IAN_2brad_L3_8_S8_L001_R1_001_CTAC	94.31
IAN_2brad_L3_8_S8_L001_R1_001_GACT	94.36
IAN_2brad_L3_8_S8_L001_R1_001_GCTT	94.21
IAN_2brad_L3_8_S8_L001_R1_001_GTGA	94.89
IAN_2brad_L3_8_S8_L001_R1_001_TCAC	93.96
IAN_2brad_L3_8_S8_L001_R1_001_TCAG	94.41
IAN_2brad_L3_8_S8_L001_R1_001_TGGT	94.33
IAN_2brad_L3_8_S8_L001_R1_001_TGTC	93.94
IAN_2brad_L4_1_S9_L002_R1_001_ACCA	92.21
IAN_2brad_L4_1_S9_L002_R1_001_AGAC	93.24
IAN_2brad_L4_1_S9_L002_R1_001_CATC	92.51
IAN_2brad_L4_1_S9_L002_R1_001_CTAC	94.4
IAN_2brad_L4_1_S9_L002_R1_001_GACT	93.81
IAN_2brad_L4_1_S9_L002_R1_001_GCTT	93.66
IAN_2brad_L4_1_S9_L002_R1_001_GTGA	93.59
IAN_2brad_L4_1_S9_L002_R1_001_TCAC	93.99
IAN_2brad_L4_1_S9_L002_R1_001_TCAG	94.12
IAN_2brad_L4_1_S9_L002_R1_001_TGGT	93.12
IAN_2brad_L4_1_S9_L002_R1_001_TGTC	94.61
IAN_2brad_L4_2_S10_L002_R1_001_ACCA	93.46
IAN_2brad_L4_2_S10_L002_R1_001_AGAC	90.19
IAN_2brad_L4_2_S10_L002_R1_001_AGTG	93.14
IAN_2brad_L4_2_S10_L002_R1_001_CATC	92.57
IAN_2brad_L4_2_S10_L002_R1_001_CTAC	93.8
IAN_2brad_L4_2_S10_L002_R1_001_GACT	93.78
IAN_2brad_L4_2_S10_L002_R1_001_GCTT	93.58
IAN_2brad_L4_2_S10_L002_R1_001_GTGA	93.99
IAN_2brad_L4_2_S10_L002_R1_001_TCAC	93.18
IAN_2brad_L4_2_S10_L002_R1_001_TCAG	93.06
IAN_2brad_L4_2_S10_L002_R1_001_TGGT	93.82
IAN_2brad_L4_2_S10_L002_R1_001_TGTC	93.86
IAN_2brad_L4_3_S11_L002_R1_001_ACCA	1.61
IAN_2brad_L4_3_S11_L002_R1_001_AGAC	2.08
IAN_2brad_L4_3_S11_L002_R1_001_AGTG	90.73
IAN_2brad_L4_3_S11_L002_R1_001_CATC	93.11
IAN_2brad_L4_3_S11_L002_R1_001_CTAC	93.61
IAN_2brad_L4_3_S11_L002_R1_001_GCTT	93.82
IAN_2brad_L4_3_S11_L002_R1_001_TCAC	93.14
IAN_2brad_L4_3_S11_L002_R1_001_TCAG	91.9
IAN_2brad_L4_3_S11_L002_R1_001_TGGT	94.16
IAN_2brad_L4_3_S11_L002_R1_001_TGTC	93.25
IAN_2brad_L4_4_S12_L002_R1_001_ACCA	93.29
IAN_2brad_L4_4_S12_L002_R1_001_AGAC	93.02
IAN_2brad_L4_4_S12_L002_R1_001_AGTG	93.84
IAN_2brad_L4_4_S12_L002_R1_001_CATC	93.93
IAN_2brad_L4_4_S12_L002_R1_001_CTAC	93.78
IAN_2brad_L4_4_S12_L002_R1_001_GACT	93.53
IAN_2brad_L4_4_S12_L002_R1_001_GCTT	93.43
IAN_2brad_L4_4_S12_L002_R1_001_TCAC	93.02
IAN_2brad_L4_4_S12_L002_R1_001_TCAG	93.53
IAN_2brad_L4_4_S12_L002_R1_001_TGTC	93.9
